run_id,experiment,stage,wmape,mae,rmse,bias,wmape_dom_1_10,wmape_dom_11_20,wmape_dom_21_end,wmape_customers,wmape_tail,network_wmape,n_forecasts,n_series,n_cutoffs,n_months,negative_preds,runtime_s,eval_sha,notes
20260810T135936Z,000_prev_month,stage1,0.213151,93375.506077,216812.343403,-0.003364,0.214024,0.214024,0.211477,0.254091,0.130286,0.113221,20052,60,365,12,0,5.300000,1da89c5ab0d4c8a5,
20260810T135950Z,001_last_settled,stage1,0.310436,135993.054904,323906.885334,-0.001053,0.336524,0.329646,0.266998,0.343283,0.243951,0.181273,20052,60,365,12,0,6.100000,1da89c5ab0d4c8a5,
20260810T135958Z,002_chain_ladder,stage1,0.112585,49320.059776,149946.360100,0.011123,0.250235,0.076624,0.015071,0.136375,0.064431,0.040953,20052,60,365,12,0,7.600000,1da89c5ab0d4c8a5,
20260810T140148Z,003_shipment_price,stage1,0.192993,84544.533955,263949.427669,0.052331,0.210861,0.206206,0.163187,0.205850,0.166968,0.094602,20052,60,365,12,0,21.400000,1da89c5ab0d4c8a5,
20260810T140255Z,004_blend_ladder_shipments,stage1,0.115278,50500.101100,139586.868387,0.017728,0.257762,0.076750,0.015592,0.140839,0.063542,0.030820,20052,60,365,12,0,26.300000,1da89c5ab0d4c8a5,
20260810T140503Z,005_seasonal_anchor,stage1,0.106589,46693.694353,125283.426488,0.015296,0.233044,0.075441,0.015196,0.130486,0.058220,0.031816,20052,60,365,12,0,10.400000,1da89c5ab0d4c8a5,
20260810T140531Z,000_prev_month,stage3,0.363763,162576.947594,393833.438364,-0.047791,0.383942,0.356964,0.350857,0.380360,0.275661,0.224360,43227,103,485,16,272,8.100000,1da89c5ab0d4c8a5,calibration run at track setup; no parameter chosen from stage3
20260810T140547Z,002_chain_ladder,stage3,0.264836,118363.598457,325219.542858,-0.124335,0.371925,0.256633,0.169463,0.277599,0.197089,0.184055,43227,103,485,16,132,14.400000,1da89c5ab0d4c8a5,calibration run at track setup; no parameter chosen from stage3
20260810T140606Z,005_seasonal_anchor,stage3,0.286093,127863.815915,335627.510108,-0.110987,0.401901,0.274523,0.185556,0.299780,0.213438,0.168425,43227,103,485,16,117,18.300000,1da89c5ab0d4c8a5,calibration run at track setup; no parameter chosen from stage3
20260810T140725Z,006_measured_settlement,stage1,0.110205,48277.795018,140621.128206,0.010703,0.243645,0.075974,0.015071,0.134502,0.061028,0.034756,20052,60,365,12,0,8.600000,1da89c5ab0d4c8a5,
20260810T140739Z,006_measured_settlement,stage3,0.256542,114656.553390,320076.649727,-0.116166,0.362356,0.241014,0.169463,0.268988,0.190472,0.174724,43227,103,485,16,137,13.100000,1da89c5ab0d4c8a5,
20260810T140840Z,007_recent_curve,stage1,0.110462,48390.161300,141934.995118,0.011106,0.244591,0.075946,0.014938,0.134467,0.061873,0.034929,20052,60,365,12,0,9.300000,1da89c5ab0d4c8a5,
20260810T140856Z,007_recent_curve,stage3,0.241608,107982.160408,308170.670533,-0.086831,0.343348,0.221797,0.162590,0.255176,0.169588,0.148488,43227,103,485,16,136,15.300000,1da89c5ab0d4c8a5,
20260810T140927Z,007_recent_curve,stage1,0.110462,48390.161300,141934.995118,0.011106,0.244591,0.075946,0.014938,0.134467,0.061873,0.034929,20052,60,365,12,0,9.100000,1da89c5ab0d4c8a5,determinism check
20260810T141153Z,000_prev_month,stage1,0.213151,93375.506077,216812.343403,-0.003364,0.214024,0.214024,0.211477,0.254091,0.130286,0.113221,20052,60,365,12,0,5.000000,1da89c5ab0d4c8a5,
